smiles,NG (1321/ 38650)
COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,0
Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,0
O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1,0
[N-]=[N+]=CC(=O)OCC(N)C(=O)O,0
Cn1cnc([N+](=O)[O-])c1Sc1[nH]cnc2ncnc1-2,0
O=C(O)CCCCCCCC(=O)O,0
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1.Cl,0
CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc([O-])n2)cc1.[K+],0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,1
CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)[O-].[Na+],1
CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,1
CCOC(=O)OC(C)OC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C.Cl,1
CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NCCCCC2NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1,0
Cl.NCC(CC(=O)O)c1ccc(Cl)cc1,0
O=C([O-])CCNC(=O)c1ccc(N=Nc2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+],0
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1.Cl,0
CCC1(CC)C(=O)NC(=O)NC1=O,0
CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,0
O=C(CCCl)NCc1ccccc1,0
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C,0
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)C(O)C1O.O=S(=O)(O)O,1
CCCCC(CC)COc1ccc(-c2nc(-c3ccc(OC)cc3)nc(-c3ccc(OCC(CC)CCCC)cc3O)n2)c(O)c1,0
CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1.Cl,0
CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O.Cl,0
Cl.Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,0
O=C(O)COc1nn(Cc2ccccc2)c2ccccc12,0
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,0
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1.Cl,0
CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N.Cl,0
Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,1
O=C(CNC(=O)c1ccc(Cl)cc1)NO,0
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.[Cl-],1
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,1
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],1
CCOC(=O)c1ccc(N)cc1,0
O=C(OC1CN2CCC1CC2)c1ccccc1,0
O=C(O)c1ccccc1,0
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,0
O=C(Oc1cccc2cccnc12)c1ccccc1,1
O=C(OOC(=O)c1ccccc1)c1ccccc1,0
O=C(Nc1ccc(C(=O)O)c(O)c1)c1ccccc1,0
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,0
CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2.CS(=O)(=O)O,0
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl,0
OCc1ccccc1,0
O=C(OCc1ccccc1)c1ccccc1,0
S=C=NCc1ccccc1,1
O=C(OCc1ccccc1)c1cccnc1,0
C[N+](C)(CCOc1ccccc1)Cc1ccccc1.O=C([O-])c1cc2ccccc2cc1O,0
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1.Cl,0
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],1
COc1c2ccoc2cc2oc(=O)ccc12,0
COc1c(O)cc2c(c1O)C1OC(CO)C(O)C(O)C1OC2=O,0
C[N+](C)(C)CC(=O)[O-].Cl,0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],0
CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,0
O=C(O)CCNC(=O)c1ccccc1,0
CC(C[N+](C)(C)C)OC(N)=O.[Cl-],0
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0
CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)C(C)C12,0
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,1
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,1
O=C(O)CCCCC1SCC2NC(=O)NC21,0
CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,0
O=C1O[Bi](O)Oc2ccccc21,1
CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1,0
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1.O=C(O)C=CC(=O)O,0
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,1
S=C=Nc1ccc(N=C=S)cc1,0
CCC1OC(OC(c2c[nH]cn2)C(NC(=O)c2nc(C(CC(N)=O)NCC(N)C(N)=O)nc(N)c2C)C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc2nc(-c3nc(C(=O)NCCCCNC(=N)N)cs3)cs2)C(C)O)C(OC2OC(CO)C(O)C(OC(N)=O)C2O)C(C)C1C.O=S(=O)(O)O.O=S(=O)(O)O,1
CC(=O)OC1CC2CCC1(C)C2(C)C,0
COc1ccc2c(c(Br)c(C(=O)O)n2CCCOc2cccc3ccccc23)c1-c1ccccc1C,1
CC(C)NC(=O)N[C@H]1CCCCNC1=O,0
COc1ccc2c(O[C@H]3CCCC[C@@H]3OC)nccc2c1-n1ccnc1-c1c[nH]c2c(N)c(F)cc(C#N)c12,1
CNC(=O)CN1CC[C@]12CCN(C(=O)c1ccn(C)n1)C2,0
Nc1nc(=O)c2nc(Br)n([C@@H]3O[C@@H]4COP(=O)(O)O[C@H]4[C@H]3O)c2[nH]1,0
N#C[C@H](N)c1ccc(Cl)cc1,0
O=S1(=O)CC[C@H](S(=O)(=O)[C@H]2CCS(=O)(=O)C2)C1,0
Cc1cn([C@H]2C[C@@H](NC(=O)C(C)(C)C)[C@@H](CO)O2)c(=O)[nH]c1=O,0
C/N=C1/S[C@@H](CC(N)=O)C(=O)N1C,0
N[C@@H](CC(=O)O)c1cccc([N+](=O)[O-])c1,0
NC(=O)[C@H]1CNC(=O)C1,0
CNC[C@@H](O)CS(=O)(=O)c1ccccc1,0
C=C(C)CC1(N[C@H](C)c2ccccc2)CCCCC1,0
CCN1C(=O)S[C@@H](CC(=O)O)C1=O,0
O[C@@H](CCl)CN1CC[N+]2(CC1)CC[N+]1(CCN(C[C@@H](O)CCl)CC1)CC2,0
Cn1nnc2c1[C@H](COCC1CC1)CN(C(=O)CS(C)(=O)=O)C2,0
Cn1cc(N2C[C@]3(COCCN(C(=O)C4(C#N)CC4)C3)OCC2=O)cn1,0
Cc1nnn(C23C[C@H]4C[C@H](CC(NC(=O)[C@H](N)CC(C)C)(C4)C2)C3)n1,0
Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,0
N#C[C@]1(O)CN2CCC1CC2,0
CN(Cc1ccccc1)C[C@H]1C[C@H](c2ccccc2)O[C@H](c2ccc(NC(=O)CCCCCCC(=O)O)cc2)O1,0
NCCCC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](N)CCCCN)C(=O)O,0
CC(C)=CCC[C@@H](C)CCO,0
O=C(NC[C@H]1CCCO1)c1ccc(/C=N/O)nc1,0
